"license_licenseAbbrev","license_id","license_media_id","license_media_id_type","license_media_type","license_media_url","license_media_from_date"
"D. Kravish",30000023,26578,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/54/62/0000465462_03.jpg",1662037200
"D. Kravish",30000023,26612,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/54/50/0000465450_03.jpg",1663592400
"D. Inglis",30001509,26033,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/62/19/0000466219_03.jpg",1662037200
"D. Inglis",30001509,26626,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/62/25/0000466225_03.jpg",1662037200
"W. Thomas",20211316,26606,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/56/96/0000465696_03.jpg",1662037200
"W. Thomas",20211316,26572,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/57/07/0000465707_03.jpg",1662037200
"A. Balcerowski",20212243,26038,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/85/81/0000468581_03.jpg",1662037200
"A. Balcerowski",20212243,26914,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/85/88/0000468588_03.jpg",1662037200
"T. Carter",30001978,26605,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/56/75/0000465675_03.jpg",1662037200
"T. Carter",30001978,26579,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/56/86/0000465686_03.jpg",1662037200
"J. Barreiro",20200191,25738,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/55/15/0000465515_03.jpg",1654002000
"J. Barreiro",20200191,26577,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/55/23/0000465523_03.jpg",1662037200
"M. Salvó",20212441,26634,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/63/71/0000466371_03.jpg",1662037200
"M. Salvó",20212441,26193,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/63/64/0000466364_03.jpg",1662037200
"A. Díaz",20209226,27006,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/99/14/0000469914_03.jpg",1663246800
"A. Díaz",20209226,26003,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/99/08/0000469908_03.jpg",1663246800
"D. Brizuela",20209919,27004,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/99/33/0000469933_03.jpg",1663246800
"D. Brizuela",20209919,25729,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/99/27/0000469927_03.jpg",1663246800
"M. Ejim",30000049,26607,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/55/83/0000465583_03.jpg",1662037200
"M. Ejim",30000049,26573,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/55/89/0000465589_03.jpg",1662037200
"S. Evans",30001134,26702,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/01/96/0000470196_03.jpg",1662044400
"S. Evans",30001134,26229,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/75/22/0000467522_03.jpg",1662037200
"R. Kurucs",20211797,26711,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/01/78/0000470178_03.jpg",1662044400
"R. Kurucs",20211797,26710,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/75/01/0000467501_03.jpg",1662037200
"L. Hakanson",20210498,26142,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/81/50/0000468150_03.jpg",1664197200
"L. Hakanson",20210498,27011,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/81/54/0000468154_03.jpg",1664197200
"X. Rabaseda",20203590,27007,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/82/17/0000468217_03.jpg",1664197200
"X. Rabaseda",20203590,25643,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/82/11/0000468211_03.jpg",1664197200
"A. Smith",30002057,26961,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/79/95/0000467995_03.jpg",1662037200
"A. Smith",30002057,26962,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/79/81/0000467981_03.jpg",1662037200
"D. Andersson",30001983,26984,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/80/34/0000468034_03.jpg",1664197200
"D. Andersson",30001983,26985,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/80/29/0000468029_03.jpg",1664197200
"J. Withey",30001185,27029,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/81/33/0000468133_03.jpg",1664197200
"J. Withey",30001185,26979,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/46/81/41/0000468141_03.jpg",1664197200
"J. Hill",30001915,26698,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/01/22/0000470122_03.jpg",1662044400
"J. Hill",30001915,26697,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/74/38/0000467438_03.jpg",1662037200
"G. Tsalmpouris",30002108,26699,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/74/03/0000467403_03.jpg",1662037200
"G. Tsalmpouris",30002108,26700,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/00/96/0000470096_03.jpg",1662044400
"BJ Johnson",30001852,25619,5,"foto_de_cara","https://static.acb.com/media/PRO/00/00/46/73/47/0000467347_03.jpg",1662037200
"BJ Johnson",30001852,26693,1,"foto_cuerpo","https://static.acb.com/media/PRO/00/00/47/00/29/0000470029_03.jpg",1662044400
